nome,votos
ANTONIA LUCILEIA CRUZ RAMOS CAMARA,26239
DEODATO NUNES DE FRANÇA,1634
EDSON FIRMINO DE PAULA,734
ELISABETH APARECIDA GARCIA RODRIGUES,360
FLAVIANO FLAVIO BAPTISTA DE MELO,26706
FRANCISCO ALVES VIEIRA,1054
FRANCISCO CARLOS DE OLIVEIRA DE LIMA,783
FRANCISCO JOSE BENICIO DIAS,897
JOSE ALVES DE MORAES,519
MARCIO MIGUEL BITTAR,22351
MARIA DA ROCHA SEVERO,300
MAURICIO DINIZ LIMA,509
MIGUEL ARCANJO DE SOUZA CARNEIRO,876
RAIMUNDO NONATO DE CASTRO,2168
SOLANGE MARIA PINHO PASCOAL,5279
UAGLA BELMONT ALVES,1565
EDILBERTO AFONSO DE MORAES JUNIOR,18604
FERNANDO MELO DA COSTA,27458
GEHLEN DINIZ ANDRADE,3809
GILSON GOMES DE OLIVEIRA,4451
GLADSON DE LIMA CAMELI,128919
HAROLDO ONOFRE DE ANDRADE E SILVA,5082
HENRIQUE AFONSO SOARES LIMA,38791
IDESIO LUIS FRANKE,23049
JAIRO CASSIANO BARBOSA,9387
LEONARDO CUNHA DE BRITO,38511
MARCOS ANTONIO SILVA TORRES,6682
MARIA PERPETUA DE ALMEIDA,46628
MARIA ZILA FROTA BEZERRA DE OLIVEIRA,7397
MARIUSA DE CARVALHO,5143
SEBASTIAO SIBA MACHADO OLIVEIRA,43195
SIDNEY DIAS DE OLIVEIRA,4840
TAUMATURGO LIMA CORDEIRO,80665
VALDEMIR JANUARIO DE ALMEIDA,6139
ALEXANDRE FLEMING VASQUES BASTOS,2832
FRANCISCO DE ASSIS MELO LIMA,603
LUCIA DE FATIMA MORAIS MARQUES,521
MARIA DAS GRACAS OLIVEIRA DE SOUZA,1564
WELLINGTON DA SILVA,664
YURI PATRICE ROCHA DE MIRANDA,5873
ADA MERCEDES DE MELLO MARQUES LUZ,2187
ANTONIO CARLOS RAMOS,57435
CELIA MARIA BARBOSA ROCHA,118974
DAMASCO SILVA MEDEIROS,2606
GENALDO GAMA DOS SANTOS,1059
JAFET RODRIGUES DOS SANTOS,1744
JOSEFA AMORIM DE BARROS,1679
JOSENILDO TENORIO DA SILVA,1563
JOSÉ FRANCISCO CERQUEIRA TENÓRIO,30333
JOSÉ JOAQUIM BARROS VIEIRA SANDES,6599
JOSÉ MARINHO MUNIZ FALCÃO,3471
JOÃO JOSÉ PEREIRA DE LYRA,70268
JOÃO MENDES DA SILVA,3392
JOÃO SERGIO OLIVEIRA PEREIRA,1864
RICARDO GOMES LOURENÇO,1955
CLAUDIA ANICETO CAETANO PETUBA,10946
ELIAS BARROS DIAS,1400
GILBERTO COUTINHO FREIRE,29025
JOAQUIM BELTRÃO SIQUEIRA,108771
JOSÉ JADSON ALVES DE MELO,2182
